text,rating,source,brand,date,doc_id
"<a href=""https://www.youtube.com/watch?v=Psp3YarOKVw&amp;t=736"">12:16</a> that looks like a pain au chocolat, not a croissant",0,YouTube,Nike,2026-01-09,YT_149
Start:Its  secret shoes😅.<br>Middle:<br>We have found solution<br>Result<br>Just walk bare foot😅😅😅😅😅.<br><br>Donot buy these shoes,1,YouTube,Nike,2026-01-08,YT_150
Those shoes would be great for my friend who is a  mailman,0,YouTube,Nike,2026-01-08,YT_151
Sizing on the 002?,0,YouTube,Nike,2026-01-07,YT_152
"<a href=""https://www.youtube.com/watch?v=Psp3YarOKVw&amp;t=674"">11:14</a> Imagine Stepping in shit",2,YouTube,Nike,2026-01-07,YT_153
Nike looks in trouble from ONE brand bcoz they call you to advertising...😂😂😂,0,YouTube,Nike,2026-01-06,YT_154
i could see the mind shoes being really helpful for blind people,0,YouTube,Nike,2026-01-06,YT_155
For the mind shoes is it same size like the other Nike shoes?,0,YouTube,Nike,2026-01-06,YT_156
"Did you try walking on rocks, and gravel?",0,YouTube,Nike,2026-01-05,YT_157
hte military could use it,0,YouTube,Nike,2026-01-04,YT_158
"<a href=""https://www.youtube.com/watch?v=Psp3YarOKVw&amp;t=760"">12:40</a>-immediately pictures colin riding his plastic shark wherever like the plank era",0,YouTube,Nike,2026-01-04,YT_159
How do you get these pruducts?,0,YouTube,Nike,2026-01-03,YT_160
Hopefully its not a Samsung Battery and it explods or catches alight on you leg,0,YouTube,Nike,2026-01-03,YT_161
Happy buying LiNing and Qiaodan instead of Nike thank you.,0,YouTube,Nike,2026-01-02,YT_162
"So that shoe that helps you lift your foot, you can’t tell me theres not an IRON MAN suit out there.",2,YouTube,Nike,2026-01-02,YT_163
I thought you would do the KFConsole,1,YouTube,Nike,2026-01-01,YT_164
This could help with older people especially with knee replacements,0,YouTube,Nike,2026-01-01,YT_165
Shoes get wet and malfunction. You can&#39;t stop running till they run out of battery 😂😂,0,YouTube,Nike,2025-12-31,YT_166
When I think of Nike I think of the cheap shit shoes that last less than a year - Premium? No LMAO,0,YouTube,Nike,2025-12-30,YT_167
"The only good thing is the Nike mind shoes. And even then they couldn&#39;t make them with a more natural foot shape. This is all really pointless stuff unless they can actually justify the cost of making this junk. Nobody&#39;s buying this crap at the price they want to sell it at. They had self lacing shoes which arguably are more helpful, but where are those now? Replaced by the other shoes you slip on. Not everything needs a complicated Hi-tech solution. Such a waste overall.",0,YouTube,Nike,2025-12-30,YT_168
Thank you. We are back 💪👊🏆💯👌🤗✔️,0,YouTube,Nike,2025-12-30,YT_169
Dad shoes is nothing without AI,0,YouTube,Nike,2025-12-30,YT_170
"the amplify... is the middle class travel shoes... when we travel, we walk everywhere... cheaper then renting a car...",0,YouTube,Nike,2025-12-30,YT_171
"<a href=""https://www.youtube.com/watch?v=Psp3YarOKVw&amp;t=335"">5:35</a> Would be life changing for people with dysautonomia who can’t climb inclines.",0,YouTube,Nike,2025-12-30,YT_172
“Nikee”??!! I suppose you’re going to go ride your “bikee” or going on a “Hikee” ffs!,0,YouTube,Nike,2025-12-30,YT_173
On the nike mind 001 do they squeak a lot while walking,0,YouTube,Nike,2025-12-29,YT_174
"I would love to use those auto walking shoes to help me at work, I’m walking the whole time I’m working, so I’d be less tired and do more😊",0,YouTube,Nike,2025-12-28,YT_175
"Hiking.<br>People will want the device for hiking.<br>They want to see the vista, and a lot of people aren&#39;t physically fit enough to do it comfortably.<br>Yes, yes, get fit. But some people work office jobs and they are out of shape and the hike is TOMORROW.",0,YouTube,Nike,2025-12-27,YT_176
"<a href=""https://www.youtube.com/watch?v=Psp3YarOKVw&amp;t=621"">10:21</a> dude got the idea from stepping on a lego",0,YouTube,Nike,2025-12-27,YT_177
I understand the shoes but just get barefoot shoes...,0,YouTube,Nike,2025-12-23,YT_178
Are the mind 002 true to size?,0,YouTube,Nike,2025-12-22,YT_179
Which shoe is this,0,YouTube,Nike,2025-12-22,YT_180
Every fn $ I made 20 years ago is worth a 1/3.  Meanwhile “people” especially politicians are graping us all.  The tax money is where the evil live,1,YouTube,Nike,2025-12-22,YT_181
The SAS model is going to implode.  This economy will tighten and there WILL be a revolt,1,YouTube,Nike,2025-12-22,YT_182
